Date,Open,High,Low,Close,Volume,UpperB,LowerB,PercentB
2012/5/15,134.020004,134.809998,133.130005,133.339996,207629300,141.9360045,133.4409973,-0.011889491
2012/5/16,133.940002,134.550003,132.800003,132.830002,207265500,142.140843,132.6581589,0.01812178
2012/5/17,132.860001,133.020004,130.789993,130.860001,247992900,142.6212566,131.4917453,-0.056762986
2012/5/18,131.369995,131.600006,129.550003,129.740005,319615900,143.0770687,130.214934,-0.036924585
2012/5/21,130.160004,132.020004,129.949997,131.970001,177861100,143.1661307,129.6438728,0.172022176
2012/5/22,132.309998,133.229996,131.339996,132.199997,197531200,143.1486528,129.1503506,0.217858305
2012/5/23,131.25,132.460007,129.990005,132.270004,204958400,142.8537738,128.7532298,0.249406988
2012/5/24,132.630005,132.839996,131.419998,132.529999,167357600,142.3034175,128.5405856,0.289868641
2012/5/25,132.479996,132.850006,131.779999,132.100006,135465600,141.6224675,128.3925363,0.280233485
2012/5/29,133.160004,133.929993,131.169998,133.699997,152883500,140.9230927,128.4749113,0.419746911
2012/5/30,132.559998,133.690002,131.490005,131.759995,162370400,139.9091573,128.5908457,0.280001949
2012/5/31,131.710007,132.449997,130.339996,131.470001,196186000,138.8146754,128.800327,0.266584892
2012/6/1,129.410004,131.5,128.160004,128.160004,253240900,138.1780191,128.3279837,-0.017053712
2012/6/4,128.389999,128.740005,127.139999,128.100006,202545800,137.912549,127.7034544,0.038842978
2012/6/5,127.849998,129.259995,127.779999,129.070007,164149400,137.3502948,127.4627087,0.162557199
2012/6/6,129.970001,132.029999,129.929993,131.970001,184202800,136.7212836,127.6337197,0.477166527
2012/6/7,133.470001,133.529999,131.779999,132.050003,184772700,136.2160537,127.7699494,0.506748845
2012/6/8,131.710007,133.130005,131.289993,133.100006,143915400,135.6664724,128.0275309,0.664028529
2012/6/11,134.169998,134.25,131.279999,131.410004,169756100,135.0225283,128.2514753,0.466475259
2012/6/12,131.789993,133.009995,131.160004,132.919998,181931800,134.818783,128.3362203,0.707093458
2012/6/13,132.529999,133.360001,131.619995,132.070007,172223900,134.6582059,128.3697985,0.588417426
2012/6/14,132.339996,134,131.979996,133.470001,230615500,134.7588768,128.3331275,0.799420155
2012/6/15,133.380005,134.259995,133.100006,134.139999,169444500,135.1051218,128.3148823,0.857866167
2012/6/18,133.580002,134.729996,133.279999,134.399994,131360900,135.4077677,128.4782353,0.854568297
2012/6/19,135.080002,136.25,134.369995,135.699997,137382600,135.980421,128.2785816,0.963590001
2012/6/20,135.710007,136.100006,134.270004,135.479996,206451800,136.4261299,128.1608726,0.885528807
2012/6/21,135.639999,135.779999,132.330002,132.440002,205272200,136.4351255,128.1688768,0.516694495
2012/6/22,133.130005,133.710007,132.619995,133.460007,130029200,136.513232,128.1837711,0.633442662
2012/6/25,132.050003,132.100006,130.850006,131.320007,146375700,136.4985672,128.120436,0.381895548
2012/6/26,131.699997,132.380005,130.929993,131.979996,141634000,136.3626971,128.084306,0.470585401
2012/6/27,132.419998,133.429993,131.970001,133.169998,108088000,136.4479617,128.1400417,0.605441108
2012/6/28,132.289993,132.990005,131.279999,132.789993,169242100,136.5007611,128.2192415,0.551921836
2012/6/29,135.199997,136.270004,134.850006,136.100006,212250900,136.7210095,128.7929933,0.921669746
